	P	ection				
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
