Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
Ina Minjarez,,50,,43.86%,,17,,8,,,25,,
Peter Sakai,,64,,56.14%,,15,,20,,,29,,
Total Votes Cast,,114,,100.00%,,32,,28,,,54,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,64,,59.81%,,17,,13,,,34,,
Maria Teresa Garcia,,43,,40.19%,,12,,14,,,17,,
Total Votes Cast,,107,,100.00%,,29,,27,,,51,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,1,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,57,,52.29%,,14,,16,,,27,,
"Christine ""Chris"" Castillo",,52,,47.71%,,17,,12,,,23,,
Total Votes Cast,,109,,100.00%,,31,,28,,,50,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,1,,0,,,5,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,46,,41.07%,,19,,5,,,22,,
Michele Garcia,,66,,58.93%,,12,,23,,,31,,
Total Votes Cast,,112,,100.00%,,31,,28,,,53,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,0,,,2,,
,,,,,,,,,,"1,392",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4151,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,763,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,85,,52,,12,,21,,,,,
Ballots Cast - Democratic Party,,33,,18,,5,,10,,,,,
Ballots Cast - Blank,,1,,0,,1,,0,,,,,
Voter Turnout - Total,,11.14%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 28 United States Representative, District 28",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Jessica Cisneros,,25,,75.76%,,15,,3,,,7,,
Henry Cuellar,,8,,24.24%,,3,,2,,,3,,
Total Votes Cast,,33,,100.00%,,18,,5,,,10,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,20,,64.52%,,11,,4,,,5,,
Mike Collier,,11,,35.48%,,6,,1,,,4,,
Total Votes Cast,,31,,100.00%,,17,,5,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,20,,66.67%,,11,,3,,,6,,
Joe Jaworski,,10,,33.33%,,6,,2,,,2,,
Total Votes Cast,,30,,100.00%,,17,,5,,,8,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,1,,0,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,10,,34.48%,,8,,1,,,1,,
Janet T. Dudding,,19,,65.52%,,10,,4,,,5,,
Total Votes Cast,,29,,100.00%,,18,,5,,,6,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,0,,,4,,
,,,,,,,,,,"1,393",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4151,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,18,,60.00%,,11,,3,,,4,,
Jay Kleberg,,12,,40.00%,,7,,2,,,3,,
Total Votes Cast,,30,,100.00%,,18,,5,,,7,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,0,,,3,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,14,,43.75%,,7,,2,,,5,,
Peter Sakai,,18,,56.25%,,11,,3,,,4,,
Total Votes Cast,,32,,100.00%,,18,,5,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,16,,59.26%,,11,,2,,,3,,
Maria Teresa Garcia,,11,,40.74%,,6,,2,,,3,,
Total Votes Cast,,27,,100.00%,,17,,4,,,6,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,1,,1,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,20,,66.67%,,12,,2,,,6,,
"Christine ""Chris"" Castillo",,10,,33.33%,,6,,2,,,2,,
Total Votes Cast,,30,,100.00%,,18,,4,,,8,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,1,,,2,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,14,,48.28%,,9,,2,,,3,,
Michele Garcia,,15,,51.72%,,9,,2,,,4,,
Total Votes Cast,,29,,100.00%,,18,,4,,,7,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,0,,1,,,3,,
,,,,,,,,,,"1,394",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4152,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,127",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,146,,66,,32,,48,,,,,
Ballots Cast - Democratic Party,,96,,36,,29,,31,,,,,
Ballots Cast - Blank,,2,,2,,0,,0,,,,,
Voter Turnout - Total,,6.86%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,51,,57.30%,,18,,13,,,20,,
Mike Collier,,38,,42.70%,,13,,14,,,11,,
Total Votes Cast,,89,,100.00%,,31,,27,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,5,,2,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,64,,69.57%,,24,,16,,,24,,
Joe Jaworski,,28,,30.43%,,10,,11,,,7,,
Total Votes Cast,,92,,100.00%,,34,,27,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,2,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,40,,43.96%,,15,,15,,,10,,
Janet T. Dudding,,51,,56.04%,,18,,12,,,21,,
Total Votes Cast,,91,,100.00%,,33,,27,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,2,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,57,,62.64%,,21,,16,,,20,,
Jay Kleberg,,34,,37.36%,,12,,11,,,11,,
Total Votes Cast,,91,,100.00%,,33,,27,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,2,,,0,,
,,,,,,,,,,"1,395",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4152,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,44,,47.31%,,18,,12,,,14,,
Peter Sakai,,49,,52.69%,,15,,17,,,17,,
Total Votes Cast,,93,,100.00%,,33,,29,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,3,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,48,,57.14%,,17,,11,,,20,,
Maria Teresa Garcia,,36,,42.86%,,13,,14,,,9,,
Total Votes Cast,,84,,100.00%,,30,,25,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,12,,,,6,,4,,,2,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,49,,55.06%,,20,,14,,,15,,
"Christine ""Chris"" Castillo",,40,,44.94%,,12,,12,,,16,,
Total Votes Cast,,89,,100.00%,,32,,26,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,4,,3,,,0,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,43,,48.86%,,15,,13,,,15,,
Michele Garcia,,45,,51.14%,,16,,13,,,16,,
Total Votes Cast,,88,,100.00%,,31,,26,,,31,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,3,,,0,,
,,,,,,,,,,"1,396",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4153,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,326,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,34,,11,,2,,21,,,,,
Ballots Cast - Democratic Party,,23,,7,,1,,15,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,10.43%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 28 United States Representative, District 28",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Jessica Cisneros,,22,,95.65%,,7,,1,,,14,,
Henry Cuellar,,1,,4.35%,,0,,0,,,1,,
Total Votes Cast,,23,,100.00%,,7,,1,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,17,,80.95%,,7,,1,,,9,,
Mike Collier,,4,,19.05%,,0,,0,,,4,,
Total Votes Cast,,21,,100.00%,,7,,1,,,13,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,0,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,19,,82.61%,,6,,1,,,12,,
Joe Jaworski,,4,,17.39%,,1,,0,,,3,,
Total Votes Cast,,23,,100.00%,,7,,1,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,11,,50.00%,,4,,1,,,6,,
Janet T. Dudding,,11,,50.00%,,3,,0,,,8,,
Total Votes Cast,,22,,100.00%,,7,,1,,,14,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,,,,,,,,,,"1,397",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4153,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,18,,81.82%,,7,,1,,,10,,
Jay Kleberg,,4,,18.18%,,0,,0,,,4,,
Total Votes Cast,,22,,100.00%,,7,,1,,,14,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,17,,73.91%,,5,,0,,,12,,
Peter Sakai,,6,,26.09%,,2,,1,,,3,,
Total Votes Cast,,23,,100.00%,,7,,1,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,11,,50.00%,,4,,0,,,7,,
Maria Teresa Garcia,,11,,50.00%,,3,,1,,,7,,
Total Votes Cast,,22,,100.00%,,7,,1,,,14,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,0,,,1,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,9,,39.13%,,4,,0,,,5,,
"Christine ""Chris"" Castillo",,14,,60.87%,,3,,1,,,10,,
Total Votes Cast,,23,,100.00%,,7,,1,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,14,,60.87%,,4,,0,,,10,,
Michele Garcia,,9,,39.13%,,3,,1,,,5,,
Total Votes Cast,,23,,100.00%,,7,,1,,,15,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,"1,398",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4154,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,733,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,59,,29,,14,,16,,,,,
Ballots Cast - Democratic Party,,27,,11,,7,,9,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,8.05%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,17,,65.38%,,9,,4,,,4,,
Mike Collier,,9,,34.62%,,1,,3,,,5,,
Total Votes Cast,,26,,100.00%,,10,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,22,,84.62%,,10,,6,,,6,,
Joe Jaworski,,4,,15.38%,,0,,1,,,3,,
Total Votes Cast,,26,,100.00%,,10,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,16,,61.54%,,8,,5,,,3,,
Janet T. Dudding,,10,,38.46%,,2,,2,,,6,,
Total Votes Cast,,26,,100.00%,,10,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,22,,88.00%,,9,,6,,,7,,
Jay Kleberg,,3,,12.00%,,1,,1,,,1,,
Total Votes Cast,,25,,100.00%,,10,,7,,,8,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,,,,,,,,,,"1,399",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4154,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,15,,55.56%,,7,,5,,,3,,
Peter Sakai,,12,,44.44%,,4,,2,,,6,,
Total Votes Cast,,27,,100.00%,,11,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,11,,44.00%,,5,,2,,,4,,
Maria Teresa Garcia,,14,,56.00%,,4,,5,,,5,,
Total Votes Cast,,25,,100.00%,,9,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,10,,41.67%,,4,,3,,,3,,
"Christine ""Chris"" Castillo",,14,,58.33%,,5,,4,,,5,,
Total Votes Cast,,24,,100.00%,,9,,7,,,8,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,18,,72.00%,,8,,6,,,4,,
Michele Garcia,,7,,28.00%,,1,,1,,,5,,
Total Votes Cast,,25,,100.00%,,9,,7,,,9,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,2,,0,,,0,,
,,,,,,,,,,"1,400",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4155,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,359",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,316,,174,,33,,109,,,,,
Ballots Cast - Democratic Party,,271,,143,,26,,102,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,13.40%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,121,,49.39%,,66,,14,,,41,,
Mike Collier,,124,,50.61%,,65,,12,,,47,,
Total Votes Cast,,245,,100.00%,,131,,26,,,88,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,26,,,,12,,0,,,14,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,167,,65.75%,,90,,16,,,61,,
Joe Jaworski,,87,,34.25%,,43,,9,,,35,,
Total Votes Cast,,254,,100.00%,,133,,25,,,96,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,17,,,,10,,1,,,6,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,112,,46.86%,,52,,17,,,43,,
Janet T. Dudding,,127,,53.14%,,72,,7,,,48,,
Total Votes Cast,,239,,100.00%,,124,,24,,,91,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,32,,,,19,,2,,,11,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,129,,51.60%,,72,,10,,,47,,
Jay Kleberg,,121,,48.40%,,61,,14,,,46,,
Total Votes Cast,,250,,100.00%,,133,,24,,,93,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,21,,,,10,,2,,,9,,
,,,,,,,,,,"1,401",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4155,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,89,,33.33%,,50,,6,,,33,,
Peter Sakai,,178,,66.67%,,90,,20,,,68,,
Total Votes Cast,,267,,100.00%,,140,,26,,,101,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,148,,59.92%,,74,,16,,,58,,
Maria Teresa Garcia,,99,,40.08%,,53,,8,,,38,,
Total Votes Cast,,247,,100.00%,,127,,24,,,96,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,24,,,,16,,2,,,6,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,108,,43.90%,,62,,14,,,32,,
"Christine ""Chris"" Castillo",,138,,56.10%,,65,,12,,,61,,
Total Votes Cast,,246,,100.00%,,127,,26,,,93,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,25,,,,16,,0,,,9,,
,"DEM Justice of the Peace, Precinct No. 4, Place 1 Justice of the Peace, Precinct No. 4",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Yolanda Acuña Uresti,,115,,47.72%,,65,,10,,,40,,
Michele Garcia,,126,,52.28%,,60,,15,,,51,,
Total Votes Cast,,241,,100.00%,,125,,25,,,91,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,30,,,,18,,1,,,11,,
,,,,,,,,,,"1,402",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4156,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,243",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,77,,35,,5,,37,,,,,
Ballots Cast - Democratic Party,,56,,25,,2,,29,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,6.19%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,41,,73.21%,,22,,0,,,19,,
Mike Collier,,15,,26.79%,,3,,2,,,10,,
Total Votes Cast,,56,,100.00%,,25,,2,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,42,,75.00%,,23,,0,,,19,,
Joe Jaworski,,14,,25.00%,,2,,2,,,10,,
Total Votes Cast,,56,,100.00%,,25,,2,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,25,,45.45%,,14,,2,,,9,,
Janet T. Dudding,,30,,54.55%,,10,,0,,,20,,
Total Votes Cast,,55,,100.00%,,24,,2,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,37,,67.27%,,17,,0,,,20,,
Jay Kleberg,,18,,32.73%,,7,,2,,,9,,
Total Votes Cast,,55,,100.00%,,24,,2,,,29,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,1,,0,,,0,,
,,,,,,,,,,"1,403",,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4156,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
